iter	Logloss
0	0.6897896735
1	0.6864978019
2	0.6827775133
3	0.6795810562
4	0.6763775987
5	0.6730577283
6	0.6701031536
7	0.6670902962
8	0.6637507207
9	0.6606589774
10	0.6577739677
11	0.6549481366
12	0.6518357391
13	0.6490259755
14	0.6464510859
15	0.6433521216
16	0.6407205542
17	0.6379657108
18	0.63549262
19	0.6327837686
20	0.6302384673
21	0.6277313346
22	0.6254474617
23	0.6231241974
24	0.6208197827
25	0.6185979333
26	0.6160340695
27	0.6135920601
28	0.6114479989
29	0.6089205647
30	0.6068115293
31	0.6047074664
32	0.6021596789
33	0.6002390319
34	0.5980711693
35	0.5962600062
36	0.5944748331
37	0.5926898601
38	0.5907523838
39	0.5887647468
40	0.5870253358
41	0.5849117454
42	0.5831847379
43	0.5815488367
44	0.5799134305
45	0.5779518343
46	0.576343753
47	0.5747612844
48	0.5733243803
49	0.5718867885
50	0.5703333633
51	0.5689346444
52	0.567513131
53	0.5659876304
54	0.5645069418
55	0.5631118707
56	0.5617516143
57	0.5605183689
58	0.5600119443
59	0.5585607171
60	0.5572626824
61	0.5560633999
62	0.554864957
63	0.5537691589
64	0.5525760255
65	0.5514486517
66	0.5501399494
67	0.5490156044
68	0.5478302345
69	0.5466619216
70	0.5452511989
71	0.5442011543
72	0.5431151393
73	0.5418131422
74	0.5405986946
75	0.5394970152
76	0.5385321713
77	0.5375151654
78	0.5362742381
79	0.5351390385
80	0.5345170232
81	0.5336332503
82	0.5327698503
83	0.5317943799
84	0.5308244744
85	0.5300522925
86	0.5293556327
87	0.5283054087
88	0.5274815777
89	0.5265367002
90	0.5258666688
91	0.5249803253
92	0.5243844239
93	0.5232474695
94	0.5224611624
95	0.5215111575
96	0.5204700534
97	0.5197216429
98	0.518927908
99	0.5179283918
100	0.517450138
101	0.5167077781
102	0.5161172341
103	0.5153033234
104	0.5147105142
105	0.5140149922
106	0.5129935966
107	0.5122468197
108	0.5116189502
109	0.5109706661
110	0.5105409924
111	0.51001436
112	0.509613175
113	0.5092557743
114	0.5086750235
115	0.5079768352
116	0.5073028678
117	0.5067580776
118	0.5061457399
119	0.5055019147
120	0.5052628514
121	0.5043727804
122	0.5041181234
123	0.5036198105
124	0.5026769756
125	0.5024568981
126	0.5020768207
127	0.5013350739
128	0.5006981013
129	0.5002119848
130	0.4998531462
131	0.4996269529
132	0.4989774181
133	0.4986875937
134	0.4982312745
135	0.4978313864
136	0.4973993006
137	0.4971291936
138	0.4965505992
139	0.4962532736
140	0.4960246604
141	0.4955360431
142	0.4951389314
143	0.4946736147
144	0.4944628084
145	0.4936708127
146	0.4931561685
147	0.4929220973
148	0.4925310823
149	0.4921923215
150	0.491522872
151	0.4906848654
152	0.4902935623
153	0.4900816834
154	0.489701384
155	0.4893309929
156	0.4889728581
157	0.4886677756
158	0.4884094726
159	0.4880500859
160	0.4877514332
161	0.4868008617
162	0.4863003116
163	0.4861372224
164	0.4853286908
165	0.4849205338
166	0.4845772372
167	0.4840928581
168	0.4835821261
169	0.4829269898
170	0.4826383935
171	0.4819104684
172	0.4811431927
173	0.4806368045
174	0.4802129817
175	0.479943519
176	0.4796412297
177	0.4791262589
178	0.4788300326
179	0.4784612721
180	0.4782127895
181	0.477804005
182	0.477686966
183	0.4775747369
184	0.4773843713
185	0.4771523206
186	0.4767554821
187	0.4762743039
188	0.4755433249
189	0.4753793068
190	0.4751542154
191	0.4750199398
192	0.4747932763
193	0.474671048
194	0.4743356428
195	0.4738716171
196	0.4735065099
197	0.4731905863
198	0.4730506235
199	0.4728453635
200	0.4724544763
201	0.4721465392
202	0.4716679105
203	0.4713174568
204	0.4710638198
205	0.4707905948
206	0.470287052
207	0.470042741
208	0.4699012782
209	0.4696042958
210	0.4693835452
211	0.4691846206
212	0.468481858
213	0.4683412141
214	0.4678810461
215	0.4675541368
216	0.4672570959
217	0.4670709806
218	0.4668990344
219	0.4667617338
220	0.4665037338
221	0.4661487164
222	0.4660354634
223	0.4658781523
224	0.46565241
225	0.4653874026
226	0.4652578175
227	0.4650345803
228	0.4646128802
229	0.4643843728
230	0.4638435433
231	0.4633444924
232	0.4631900078
233	0.4631083386
234	0.4629591684
235	0.4625645983
236	0.4622529354
237	0.4620421438
238	0.4616547311
239	0.4615300146
240	0.4611161219
241	0.4608000463
242	0.460469974
243	0.4600213795
244	0.4594932986
245	0.4592592784
246	0.4591075541
247	0.4584869253
248	0.4580853323
249	0.4576115186
250	0.4572116396
251	0.4570822274
252	0.4566184129
253	0.4565416215
254	0.4564077631
255	0.4562307956
256	0.4560628277
257	0.4555524983
258	0.4553537442
259	0.455258552
260	0.454869028
261	0.4544503082
262	0.4543268916
263	0.4539966178
264	0.4538384729
265	0.4537034314
266	0.4533476203
267	0.4532159496
268	0.4529647599
269	0.4525246545
270	0.4523282401
271	0.4517556613
272	0.4513135546
273	0.4511166357
274	0.450931831
275	0.450530798
276	0.4504654342
277	0.45023844
278	0.4501166351
279	0.4499785606
280	0.4498779451
281	0.4497389638
282	0.449358859
283	0.4489139185
284	0.4487910953
285	0.4487078236
286	0.448564382
287	0.4484568021
288	0.448319987
289	0.4482154533
290	0.4477219409
291	0.4475862902
292	0.4474972972
293	0.4474102739
294	0.4473457545
295	0.4469605512
296	0.4467882217
297	0.4464795529
298	0.4464190926
299	0.446179067
300	0.4460964028
301	0.4458596078
302	0.4455554536
303	0.4454238272
304	0.4452568363
305	0.4451526809
306	0.445066781
307	0.4449512966
308	0.4448267685
309	0.4446600833
310	0.4445939455
311	0.4441180215
312	0.4439014723
313	0.4437927013
314	0.4437252897
315	0.4435058808
316	0.4432049839
317	0.4431043531
318	0.4428476066
319	0.4428085931
320	0.4423644662
321	0.4421658215
322	0.4419122774
323	0.441798811
324	0.441676099
325	0.441598461
326	0.4415097258
327	0.4414277137
328	0.4412376864
329	0.4411061903
330	0.4406986062
331	0.4404016653
332	0.440177807
333	0.440087845
334	0.4396621071
335	0.4395603141
336	0.4395209799
337	0.4394386766
338	0.4392782425
339	0.4391896208
340	0.4391200178
341	0.4390572861
342	0.4389734776
343	0.4388105044
344	0.4387260457
345	0.4385493061
346	0.4383551742
347	0.4378341912
348	0.4377437825
349	0.4376826143
350	0.4376250088
351	0.4375510315
352	0.4374849665
353	0.4371479648
354	0.4370518991
355	0.4369889592
356	0.4368070551
357	0.4367300313
358	0.4365079498
359	0.4363334283
360	0.4361964503
361	0.4361312309
362	0.4357746344
363	0.4354226174
364	0.4353432616
365	0.43496412
366	0.4348932471
367	0.434696485
368	0.4346043525
369	0.4345332173
370	0.4344492158
371	0.4342332199
372	0.4340270015
373	0.433954119
374	0.433844689
375	0.4337616205
376	0.4336703608
377	0.4335933938
378	0.4333016428
379	0.4332187215
380	0.4331123982
381	0.4330274882
382	0.432803893
383	0.4327131167
384	0.4326179117
385	0.4325442887
386	0.432333498
387	0.4322597454
388	0.4321360872
389	0.4319357105
390	0.4318014949
391	0.4315453071
392	0.4313644088
393	0.4309277372
394	0.43086262
395	0.4307795887
396	0.430702269
397	0.4306196331
398	0.4303346506
399	0.4302484851
400	0.4300659608
401	0.4299686166
402	0.429884189
403	0.4298270062
404	0.4297865685
405	0.4297073038
406	0.4296387903
407	0.4294923381
408	0.429337007
409	0.4292673611
410	0.4291762813
411	0.4290938963
412	0.4290050499
413	0.4288640491
414	0.4286620639
415	0.428350906
416	0.4281380126
417	0.4280725346
418	0.4278987304
419	0.427600595
420	0.4274901596
421	0.4274297477
422	0.4273660193
423	0.4272887335
424	0.4272207104
425	0.427049269
426	0.4269564363
427	0.4268963145
428	0.4268532275
429	0.426456281
430	0.4264111439
431	0.4263206045
432	0.4262490226
433	0.4261415677
434	0.4260405093
435	0.4259258965
436	0.4258324398
437	0.4257471702
438	0.4256831417
439	0.4256332513
440	0.4254758671
441	0.4254201534
442	0.4253280243
443	0.425264705
444	0.4252229528
445	0.4251445816
446	0.4250543457
447	0.4248516785
448	0.4247780854
449	0.4244035878
450	0.4241708974
451	0.4240079247
452	0.4239203811
453	0.4238558541
454	0.4237843698
455	0.42327877
456	0.4232068365
457	0.4230682279
458	0.4229820612
459	0.4229144705
460	0.4228607253
461	0.4227902406
462	0.4227174846
463	0.4225506346
464	0.4223049835
465	0.4222136564
466	0.4221553591
467	0.4220074231
468	0.4219326004
469	0.4217495991
470	0.4215180102
471	0.4214227532
472	0.4213273787
473	0.4212664647
474	0.4211728332
475	0.4210893508
476	0.4209863608
477	0.420853634
478	0.4207938851
479	0.4207185754
480	0.4205159723
481	0.4204262648
482	0.4203641597
483	0.4202691137
484	0.4201936377
485	0.420118748
486	0.4200261802
487	0.4199465134
488	0.4197685031
489	0.4196876501
490	0.4195951981
