iter	Passed	Remaining
406	5441	7927
407	5453	7912
408	5467	7900
409	5484	7892
410	5497	7878
411	5516	7872
412	5526	7855
413	5537	7837
414	5551	7825
415	5569	7818
416	5578	7799
417	5589	7782
418	5599	7764
419	5609	7745
420	5618	7727
421	5627	7708
422	5638	7690
423	5648	7673
424	5663	7662
425	5679	7653
426	5692	7638
427	5703	7621
428	5724	7619
429	5735	7602
430	5744	7584
431	5756	7568
432	5767	7552
433	5777	7534
434	5789	7519
435	5803	7507
436	5817	7494
437	5827	7477
438	5837	7459
439	5848	7442
440	5861	7429
441	5871	7412
442	5880	7394
443	5890	7376
444	5900	7358
445	5909	7340
446	5919	7323
447	5932	7309
448	5946	7297
449	5956	7279
450	5967	7264
451	5976	7246
452	5986	7228
453	5996	7211
454	6006	7194
455	6015	7176
456	6025	7159
457	6035	7142
458	6045	7125
459	6062	7116
460	6072	7099
461	6081	7082
462	6091	7065
463	6178	7137
464	6208	7142
465	6231	7140
466	6247	7129
467	6261	7117
468	6270	7099
469	6281	7083
470	6291	7066
471	6301	7049
472	6314	7035
473	6325	7019
474	6335	7002
475	6345	6985
476	6355	6968
477	6369	6956
478	6383	6943
479	6393	6926
480	6403	6909
481	6414	6893
482	6424	6876
483	6434	6860
484	6444	6843
485	6459	6831
486	6470	6816
487	6485	6804
488	6499	6792
489	6509	6775
490	6519	6758
491	6528	6740
492	6537	6723
493	6580	6739
494	6592	6725
495	6606	6713
496	6635	6715
497	6676	6730
498	6705	6732
499	6717	6717
500	6727	6700
501	6737	6684
502	6751	6670
503	6760	6653
504	6773	6638
505	6788	6627
506	6805	6617
507	6816	6601
508	6825	6583
509	6835	6567
510	6846	6551
511	6855	6534
512	6865	6517
513	6869	6495
514	6879	6478
515	6888	6461
516	6899	6445
517	6908	6428
518	6925	6418
519	6935	6402
520	6945	6385
521	6955	6369
522	6966	6353
523	6975	6336
524	6986	6321
525	6997	6305
526	7007	6289
527	7017	6273
528	7027	6257
529	7041	6244
530	7056	6232
531	7074	6223
532	7087	6209
533	7097	6193
534	7107	6177
535	7118	6162
536	7127	6145
537	7138	6130
538	7149	6114
539	7158	6098
540	7169	6082
